espn_id,player_name,euro_id
NA,Damon Stephenson,42478
NA,Dan Kirkwood,42417
9034,Dan Obremski,NA
NA,Dan Olsen,33384
3840,Dan Woltman,NA
NA,Dani Osorio,33257
NA,Danie Van Niekerk,42369
4596486,Daniel Augustus IV,NA
9025,Daniel Berger,NA
NA,Daniel Berna Manzanares,39905
NA,Daniel Brennan,42799
NA,Daniel Brooks,35668
NA,Daniel Brown,40915
1176,Daniel Chopra,9730
11416,Daniel Faccini,NA
NA,Daniel Fox,39054
NA,Daniel Gale,42739
NA,Daniel Gaunt,32366
NA,Daniel Gavins,39020
NA,Daniel Greene,37299
NA,Daniel Hammond,37989
NA,Daniel Hendry,42994
4425899,Daniel Hillier,43333
NA,Daniel Im,36072
NA,Daniel Jennevret,36537
NA,Daniel Kay,40606
11217,Daniel Kim,NA
NA,Daniel Løkke,36413
9303,Daniel Mazziotta,NA
2683,Daniel McCarthy,NA
5569,Daniel Miernicki,NA
NA,Daniel Nduva,39868
4984,Daniel Nisbet,37245
NA,Daniel Peacock,43325
NA,Daniel Pearce,41545
NA,Daniel Popovic,37622
NA,Daniel Rodrigues,43857
NA,Daniel Schlauer,41161
7157,Daniel Stapff,NA
4693965,Daniel Stringfellow,NA
NA,Daniel Suchan,39342
3452,Daniel Summerhays,NA
4686083,Daniel Sutton,NA
NA,Daniel Valente,40184
5857,Daniel van Tonder,NA
NA,Daniel Van Tonder,38017
NA,Daniel Vancsik,30778
4643749,Daniel Wetterich,NA
NA,Daniel Wuensche,35541
NA,Daniel Young,40650
9381,Danny Balin,NA
1517,Danny Chia,3638
3950,Danny Lee,35114
4365957,Danny List,42880
