tour,season,tournament_id,tournament_name,par,yards,course,location
euro,2017,2017056,Aberdeen Asset Management Scottish Open,,,Dundonald Links," Troon, Ayrshire, Scotland"
euro,2017,2017060,Porsche European Open,,,Green Eagle Golf Courses," Hamburg, Germany"
euro,2017,2017066,Saltire Energy Paul Lawrie Match Play,,,Golf Resort Bad Griesbach," Bad Griesbach, Germany"
euro,2017,2017068,Fiji International,,,Natadola Bay GC," Natadola, Fiji"
euro,2017,2017070,Made In Denmark,,,HimmerLand," Farsø, Denmark"
euro,2017,2017072,D+D REAL Czech Masters,,,Albatross Golf Resort," Prague, Czech Republic"
euro,2017,2017074,Omega European Masters,,,Crans-sur-Sierre GC," Crans Montana, Switzerland"
euro,2017,2017076,KLM Open,,,The Dutch," Spijk, Netherlands"
euro,2017,2017078,Portugal Masters,,,Dom Pedro Victoria Golf Course," Vilamoura, Portugal"
euro,2017,2017080,British Masters supported by Sky Sports,,,Close House GC," Newcastle-upon-Tyne, England"
euro,2017,2017082,Alfred Dunhill Links Championship,,,Old Course St. Andrews," Carnoustie & Kingsbarns, Scotland"
euro,2017,2017084,Italian Open,,,Kingsbarns Golf Links," Kingsbarns, Scotland"
euro,2017,2017086,Andalucia Valderrama Masters hosted by the Sergio Garcia Foundation,,,Carnoustie," Angus, Scotland"
euro,2017,2017090,Turkish Airlines Open,,,Real Club Valderrama," Sotogrande, Spain"
euro,2017,2017092,Nedbank Golf Challenge hosted by Gary Player,,,Sheshan International GC," Shanghai, China"
euro,2017,2017094,"DP World Tour Championship, Dubai",,,Regnum Carya Golf & Spa Resort," Antalya, Turkey"
euro,2016,2015092,Alfred Dunhill Championship,,,Leopard Creek CC," Malelane, South Africa"
euro,2016,2015095,Australian PGA Championship,,,RACV Royal Pines Resort," Gold Coast, Queensland, Australia"
euro,2016,2016000,BMW SA Open hosted by City of Ekurhuleni,,,Glendower GC," City of Ekurhuleni, Gauteng, South Africa"
euro,2016,2016002,Joburg Open,,,Royal Johannesburg & Kensington GC," Johannesburg, South Africa"
